conversation_id,ground_truth
38," [Message 3 - Daniel]: I thought we could... burn him out at the warehouse tonight. It's isolated and it won't raise suspicion. | Actus Reus

   [Message 8 - Tina]: I'll bring the accelerant too. | Actus Reus

   [Message 13 - Daniel]: Let's meet there tonight around midnight. Wear all black and bring gloves. | Actus Reus

   [Message 15 - Daniel]: I don't want to end up in prison for the rest of our lives. | Mens Rea

   [Message 16 - Tina]: Neither do I, Daniel. See you tonight. | Mens Rea

   [Message 23 - Daniel]: Are you prepared? | None (just a question)

   [Message 35 - Tina]: Are you sure we should do this, Daniel? | Mens Rea

   [Message 37 - Tina]: I just feel a little... uneasy. | Mens Rea

   [Message 41 - Tina]: Yes, I'm here. Let's get started. | Actus Reus"
39," [Message 3 - Kevin]: I brought the pipe this time. Meet you near the edge? | Crime element: Actus Reus

   [Message 10 - Kevin]: Don't worry, we'll make it look like an accident. | Crime element: Mens Rea

   [Message 14 - Kevin]: On three, I'll swing the pipe and you'll push him over the edge. | Crime element: Actus Reus

   [Message 15 - Emma]: (Pushing victim over the edge) | Crime element: Actus Reus

   [Message 19 - Emma]: Let's go. We need to clean up and leave no trace. | Crime element: Mens Rea

   [Message 28 - Emma]: collect all evidence, dispose of it in separate locations, and wash each other's clothes. | Crime element: Actus Reus

   [Message 30 - Emma]: I'll start with the pipe. It needs to disappear. | Crime element: Actus Reus

   [Message 32 - Kevin]: A few small bloodstains on the pipe and the victim's jacket. We need to clean those thoroughly. | Crime element: Actus Reus

   [Message 34 - Emma]: I found some clothes near the edge. Let's make sure there are no identifying tags or marks. | Crime element: Actus Reus

   [Message 36 - Emma]: Alright, let's wash our clothes together to ensure we don't leave any traces behind. | Crime element: Mens Rea

   [Message 38 - Emma]: Done with the pipe. It's hidden in an abandoned building far from here. | Crime element: Actus Reus

   [Message 29 - Kevin]: Seems like a plan. Let's get started. | Crime element: Mens Rea"
40," [Message 17 - Tom]: Just one more thing before we part ways: Are you absolutely sure about this? | Mens Rea
   [Message 18 - Chloe]: I am. I've thought long and hard about it. This is the only way forward. | Mens Rea
   [Message 25 - Tom]: Just make sure we both escape unscathed this time. | Actus Reus (Escaping)
   [Message 30 - Tom]: One last thing before we go... Remember, we made a promise, no matter what happens, we keep each other's secrets. | Mens Rea (Keeping Secrets)"
41," [Message 1 - Jake]: Meticulously cleaned up after last night, Lily. No trace left behind. | Actus Reus
   [Message 4 - Lily]: I've been thinking about the alibi. Should we say we were at the diner all night? | Actus Reus, Mens Rea (planning)
   [Message 5 - Jake]: That's a good idea, but let's make sure to leave a few witnesses. We don't want anyone suspecting us. | Actus Reus, Mens Rea (deception)
   [Message 6 - Lily]: Agreed. I'll call Tina and ask her to stay late tonight. She can vouch for us. | Actus Reus
   [Message 7 - Jake]: Smart move. And let's make sure to leave the diner before the police arrive. | Actus Reus
   [Message 19 - Jake]: And remember, we must never speak of this again. Our secret is safe between us. | Mens Rea (intent to cover up)"
42," [Message 1 - Mike]: Alright, it's done. Apartment's completely gutted. No way they can trace this back to us. | Actus Reus

   [Message 4 - Amy]: Good, but remember, we stick to our story about the electrical short circuit. | Actus Reus, Deception

   [Message 5 - Mike]: Of course. We don't want to draw attention. Let's hope they find the body soon. | Actus Reus

   [Message 14 - Amy]: I'm going to miss our old life, but we have no choice now. | Mens Rea

   [Message 17 - Mike]: I feel guilty, Amy. But deep down, I know it was the right thing to do. | Mens Rea

   [Message 20 - Amy]: Me too. It's a heavy burden to carry, but we'll find a way to move on. | Mens Rea

   [Message 41 - Mike]: Remember to destroy any evidence that ties us to the apartment. | Actus Reus

   [Message 51 - Mike]: Be careful who you trust from now on. Some people might have an idea of what happened and try to exploit us. | Mens Rea, Fear of being caught"
43," [Message 3 - Daniel]: We need to talk about that incident from last week. The one with the car | Actus Reus

   [Message 7 - Daniel]: I think we need to cover our tracks better next time | Actus Reus

   [Message 14 - Tina]: I took care of it. I found a friend who will tow it away tonight | Actus Reus

   [Message 33 - Daniel]: Found someone. Meet me at the park by the lake tomorrow evening. Bring what we need for the job | Actus Reus

   [Message 41 - Daniel]: I've already mixed the poison and have it ready for use | Actus Reus

   [Message 47 - Daniel]: Alright then, let's get it done | Actus Reus

   [Message 51 - Daniel]: Can't wait. Let's make this our best job yet | Actus Reus

   [Message 57 - Daniel]: Good night, Tina. Can't wait for tomorrow | Intent to commit future crime

   [Message 60 - Tina]: You too, Dan. Talk to you soon | Intent to continue criminal activity"
44," [Message 9 - Ben]: Have you thought about an alibi for tonight? We should be prepared. | Crime element: Actus Reus (Planning a cover-up)
   [Message 16 - Rachel]: I have a dinner party with some colleagues. You? | Crime element: Actus Reus (Lying about whereabouts)
   [Message 21 - Ben]: Let's make sure they don't see us together tonight. | Crime element: Actus Reus (Avoiding detection)
   [Message 32 - Rachel]: And I'll take care of the second one. | Crime element: Actus Reus (Performing an action that could be part of committing a crime, without specifying what it is)
   [Message 41 - Ben]: I'm counting on you, Rachel. Let's make tonight count. | Crime element: Mens Rea (Planning or expectation that a criminal act will occur)"
45," [Message 1 - Nina]: Meeting at the warehouse tonight, 11pm sharp? Need to discuss something important. | Crime element: Actus Reus (discussing a meeting related to committing a crime)

   [Message 3 - Nina]: Absolutely. I've double-checked everything. Just remember, this has to look like an overdose. No traces leading back to us. | Crime element: Actus Reus (covering up a crime by ensuring no evidence remains)

   [Message 4 - John]: Understood. I'll bring the stuff. Let's hope it does the job cleanly. | Crime element: Actus Reus (planning to use harmful substances)

   [Message 5 - Nina]: Hope so too. We don't want a messy situation. If things go wrong, our alibis better be solid. | Crime element: Mens Rea (expressing fear of being caught and preparing alternative stories)

   [Message 7 - Nina]: I'll tell everyone I was working late at the office. I've even sent a few emails just to make it look real. | Crime element: Actus Reus (creating false evidence to support their alibis)

   [Message 16 - John]: Don't forget the antidote just in case... | Crime element: Actus Reus (having an antidote as a precaution in case things go wrong)

   [Message 20 - John]: I'm starting to feel a bit nervous... | Crime element: Mens Rea (expressing feelings of nervousness and guilt related to their criminal plans)

   [Message 34 - John]: See you at the warehouse tonight. | Crime element: Actus Reus (planning to meet for a purpose related to committing a crime)"
46," [Message 3 - Daniel]: Yeah, me too. But we had to do it, right? For our sake. | Crime element: Actus Reus
   [Message 5 - Daniel]: We did what we had to do, Tina. He was a threat and he had to go. Let's not dwell on it. | Crime element: Actus Reus
   [Message 7 - Daniel]: Exactly. No one will suspect us. The authorities will think it was an accident. | Crime element: Actus Reus, Mens Rea
   [Message 13 - Daniel]: Highly unlikely. They'll probably rule it an accidental death due to height. | Crime element: Actus Reus, Mens Rea
   [Message 15 - Daniel]: Me neither, but we need to be careful. Let's not draw any attention to ourselves. | Crime element: Mens Rea
   [Message 19 - Daniel]: Let's keep this between us and focus on our future. | Crime element: Mens Rea"
47," [Message 11 - Tom]: Now, let me clarify one thing - we can't afford any mistakes today. No regrets. | Crime element: Mens Rea
   [Message 15 - Tom]: And once we have control, we'll need to act fast. No mercy. | Crime element: Actus Reus
   [Message 25 - Tom]: I'll bring the plastic bags. We don't want any evidence left behind. | Crime element: Actus Reus
   [Message 27 - Tom]: Once we've taken care of everything, we can finally be free. | Crime element: Mens Rea"
48," [Message 6 - John]: You're suggesting... murder? | Crime element: Actus Reus

   [Message 7 - Nina]: Yes, I am. It's the only way to ensure our silence and their disappearance. | Crime element: Actus Reus

   [Message 15 - Nina]: We'll set up a meeting, then one of us will bring a knife. When the time is right, we strike. Quick and clean. | Crime element: Actus Reus

   [Message 29 - John]: Yes, I saw the knife go in. It's over. Let's get out of here before someone comes back. | Crime element: Actus Reus

   [Message 30 - Nina]: (in shock) Are you sure it's done? I heard a struggle... | Crime element: None (Expressing concern, not admitting or denying criminal act)

   [Message 37 - John]: We'll tell each other everything and find a way to cover up any loose ends. | Crime element: Actus Reus (covering up evidence of crime) and Mens Rea (intent to deceive)

   [Message 40 - Nina]: For now, let's focus on ourselves and our safety. | Crime element: None (Expressing concern for their own safety, not admitting or denying criminal act)"
49," [Message 1 - Steve]: Dude, that guy at the motel tonight... we did it. No one can connect us to that place now. | Actus Reus

   [Message 3 - Steve]: Yeah, but he was a problem, and we had to handle it. | Actus Reus

   [Message 9 - Steve]: I feel the same way. But we did what we had to do for our sake. We can start anew now. | Mens Rea

   [Message 15 - Steve]: (No message) | Implies potential concern about their actions being discovered

   [Message 19 - Steve]: I've been thinking about it... are we really sure no one saw us? | Actus Reus

   [Message 25 - Steve]: Okay, bro. You always know what to say. Let's stick together and move forward. | Mens Rea

   [Message 29 - Steve]: I've been thinking about our plan... what if the cops start investigating that motel again? | Actus Reus"
50," [Message 1 - Maya]: I can't believe we did it, Sarah. We finally got rid of that snake. | Crime element: Actus Reus
   [Message 3 - Maya]: I've been planning this for weeks. I even scouted out the perfect place – that old warehouse down by the docks. | Crime element: Actus Reus
   [Message 5 - Maya]: Tonight's the night. Let's meet at the warehouse around midnight. Bring the knife I gave you last week. | Crime element: Actus Reus
   [Message 6 - Sarah]: Got it. Midnight it is. Can't wait to see his terrified face as he meets his end. | Crime element: Mens Rea
   [Message 7 - Maya]: Be careful, Sarah. We don't want any witnesses. Remember our plan: lure him in with a note, then strike when he least expects it. | Crime element: Actus Reus, Mens Rea
   [Message 15 - Maya]: All clear. Slip the note under his door now. | Crime element: Actus Reus
   [Message 21 - Maya]: Strike when he enters the warehouse. Remember, we need to be swift and silent. | Crime element: Actus Reus
   [Message 22 - Sarah]: Got him. He didn't stand a chance. | Crime element: Actus Reus
   [Message 23 - Maya]: Good job, Sarah. Let's finish this quickly. We don't want any loose ends. | Crime element: Actus Reus
   [Message 24 - Sarah]: I'll take care of it while you make sure there are no signs of struggle. | Crime element: Actus Reus
   [Message 25 - Maya]: Once we're done, let's clean up and leave the warehouse as we found it. | Crime element: Actus Reus
   [Message 26 - Sarah]: Finished. The body is hidden, and the knife is back in my possession. The warehouse looks exactly the same. | Crime element: Actus Reus
   [Message 31 - Maya]: Indeed, we did. But let's never speak of this again. Our secret is safe between us. | Crime element: Mens Rea"
51," [Message 5 - Kevin]: We need to cover our tracks. Dispose of the weapon and clean up. | Actus Reus
   [Message 16 - Emma]: Ready to start. | Actus Reus
   [Message 18 - Emma]: I found the weapon hidden behind the dumpster. Let's get rid of it. | Actus Reus
   [Message 22 - Emma]: Let's clean up and dispose of the body. | Actus Reus
   [Message 34 - Emma]: Yes, I put them both in different dumpsters on opposite sides of town. | Actus Reus

The following messages can also be interpreted as an indication of their intent or awareness that their actions are criminal:

   [Message 3 - Kevin]: It had to be done. He was going to ruin everything for us. | Mens Rea
   [Message 10 - Emma]: Of course. | Mens Rea (implied fear of being caught)
   [Message 26 - Emma]: We can't risk getting caught. | Mens Rea (fear of being caught)
   [Message 43 - Kevin]: I appreciate your help in covering this up. | Mens Rea (acknowledging criminal actions)
   [Message 44 - Emma]: You're welcome. We were in this together and we need to stay that way. | Mens Rea (acknowledging involvement in criminal act)"
52," [Message 17 - Kevin]: Let's meet at the park in two hours. Bring gloves and cleaning supplies. | Crime element: Actus Reus
   [Message 27 - Kevin]: Now let's make sure this mess stays buried. | Crime element: Actus Reus
   [Message 35 - Kevin]: Now let's take care of this mess and move on with our lives. | Crime element: Actus Reus
   [Message 51 - Kevin]: Now let's make sure we get rid of any evidence that could link us to our crime. | Crime element: Actus Reus
   [Message 49 - Kevin]: Good, because we don't have much time left to make this right. | Crime element: Mens Rea
   [Message 53 - Kevin]: Now let's make sure we get rid of any evidence that could link us to our crime. | Crime element: Mens Rea
   [Message 55 - Kevin]: I appreciate your dedication, but remember, we need to stay focused and discreet. | Crime element: Mens Rea
   [Message 60 - Emma]: Our freedom is at stake. | Crime element: Mens Rea"
53," [Message 13 - Jake]: I've got a lighter and a small container. We can place it strategically to ensure a fast spread. | Actus Reus
   [Message 14 - Lily]: Sounds good. Let's not leave anything to chance here. | Actus Reus
   [Message 19 - Jake]: I'll meet you at the entrance, just like usual. We don't want any suspicions raised. | Actus Reus
   [Message 21 - Jake]: Just one more thing, if things go south and we get caught, we stick to our story no matter what. | Mens Rea
   [Message 29 - Jake]: Just one last thing, if you see anyone or anything suspicious during the fire, let me know immediately. | Actus Reus
   [Message 31 - Jake]: Can't wait to be done with this. | Mens Rea
   [Message 35 - Jake]: Alright, let's do this. | Actus Reus
   [Message 41 - Jake]: Ready the accelerant, and I'll light it up. | Actus Reus
   [Message 42 - Lily]: See you on the other side of this... mess. | Mens Rea"
54," [Message 1 - Ben]: I can't believe we did it, Rach. That guy was a menace. | Mens Rea
   [Message 9 - Ben]: No one can know about the car. | Actus Reus
   [Message 10 - Rachel]: And let's dispose of the knife too, just in case. | Actus Reus
   [Message 11 - Ben]: Good thinking. I'll take care of it tomorrow. | Actus Reus
   [Message 12 - Rachel]: And let's not mention this to anyone unless we absolutely have to. | Mens Rea
   [Message 20 - Ben]: Understood. Our secret is safe with us, Rach. | Mens Rea
   [Message 42 - Rachel]: For the sake of our freedom. | Mens Rea
   [Message 9 - Ben]: No one can know about the car. | Actus Reus
   [Message 10 - Rachel]: And let's dispose of the knife too, just in case. | Actus Reus
   [Message 11 - Ben]: Good thinking. I'll take care of it tomorrow. | Actus Reus
   [Message 24 - Rachel]: Don't worry, I will. | Implies concern about being caught (Mens Rea)
   [Message 25 - Ben]: I won't. See you tomorrow, Rach. | Implies fear of being caught (Mens Rea)
   [Message 29 - Ben]: Be careful. | Warning implies fear of being caught (Mens Rea)
   [Message 30 - Rachel]: I always am, especially with you around, Ben. Goodnight. | Implies awareness of potential danger and need for caution (Mens Rea)"
55," [Message 3 - Jake]: I hope no one suspects us. We were careful, right? | Crime element: Actus Reus (Covering up a crime)

   [Message 11 - Jake]: But we have to be careful. The police might still suspect someone. | Crime element: Actus Reus (Covering up a crime)

   [Message 15 - Jake]: We were working late that night and didn't notice anything. | Crime element: Actus Reus (Covering up a crime)

   [Message 17 - Jake]: I just hope we won't get caught, Lily. | Crime element: Mens Rea (Fear of being caught)

   [Message 19 - Jake]: What if they find the car we used? | Crime element: Actus Reus (Destroying evidence)

   [Message 33 - Jake]: I can't believe we actually did it... | Crime element: Mens Rea (Guilty act)

   [Message 35 - Jake]: I just hope we won't get caught... | Crime element: Mens Rea (Fear of being caught)

   [Message 43 - Jake]: I just wish this didn't involve murder... | Crime element: Mens Rea (Regret)"
56," [Message 1 - Tom]: Hey Chloe, can't stop thinking about last night. The way the moonlight hit that shovel... it was perfect. | Crime element: Actus Reus
   [Message 2 - Chloe]: I know right? We made sure he wouldn't be found until morning. Our plan worked perfectly. | Crime element: Actus Reus
   [Message 4 - Tom]: Yes, I threw it in the river by the old bridge. Nobody goes there. | Crime element: Actus Reus
   [Message 7 - Tom]: I wrapped it in a sheet and buried it behind my shed. No one will find it there. | Crime element: Actus Reus
   [Message 25 - Tom]: They said it was a stab wound and a shovel was found nearby. Sounds familiar... | Crime element: Actus Reus
   [Message 27 - Tom]: I'm already making plans. I've got a cabin up north that no one knows about. We can lay low there for a while. | Crime element: Actus Reus
   [Message 36 - Chloe]: Oh my god, Tom! We have to get out of here! | Crime element: Mens Rea
   [Message 37 - Tom]: I'm already making plans. I've got a cabin up north that no one knows about. We can lay low there for a while. | Crime element: Actus Reus
   [Message 46 - Chloe]: Understood, Tom. We have to be careful and meticulous. | Crime element: Mens Rea
   [Message 47 - Tom]: Absolutely. And remember, whatever happens, we're in this together, forever. | Crime element: Mens Rea
   [Message 48 - Chloe]: I will never forget that, Tom. We're in this for good. | Crime element: Mens Rea"
57," [Message 11 - Daniel]: Just had a weird feeling... do you think someone saw us? | Mens Rea: Fear of being caught

   [Message 19 - Daniel]: Be careful with what you say to others, they might be suspicious. | Actus Reus: Covering up a crime

   [Message 32 - Tina]: What if someone finds the body? | Mens Rea: Planning for a potential issue related to the crime

   [Message 35 - Daniel]: I don't think that will happen. We made sure to clean up well and dispose of any evidence. | Actus Reus: Covering up a crime

   [Message 40 - Tina]: Just got a plan set up for our meeting, Dan. Be ready. Let's make this work. | Mens Rea: Planning further actions related to the crime"
58," [Message 7 - Steve]: We had no choice, Chris. He was a threat to us and our families. Remember what he did? | Actus Reus: Mention of taking another person's life (homicide)

   [Message 10 - Chris]: I just hope no one finds out about what we did, Steve. If they do, there's no telling what might happen. | Mens Rea: Fear of being caught and possible consequences

   [Message 15 - Steve]: Alright, let's meet up later this week and discuss our next move. | Actus Reus: Planning a meeting to discuss further actions

   [Message 16 - Chris]: Good idea. We don't want any unwanted attention. | Mens Rea: Fear of drawing unnecessary attention

   [Message 24 - Chris]: Agreed, Steve. Let's not risk any incriminating conversations. | Mens Rea: Awareness and concern about making incriminating statements

   [Message 32 - Chris]: Good. Just let's focus on our jobs and staying under the radar. | Actus Reus: Mention of hiding their actions from authorities or others (staying under the radar)

   [Message 46 - Chris]: Understood, Steve. You too. See you later this week. | Mens Rea: Acknowledgement of planning to meet again and discuss further actions"
59," [Message 15 - Maya]: It'll be over before anyone even knows what happened. | Actus Reus
   [Message 21 - Maya]: If anything goes wrong or if he somehow wakes up and starts talking, we need to stick to our story. | Actus Reus, Mens Rea
   [Message 23 - Maya]: I know. I just don't want us to end up in jail for the rest of our lives. | Mens Rea
   [Message 25 - Maya]: Sounds good, see you then. | Actus Reus (meeting at the park)
   [Message 30 - Sarah]: Yep, got it covered. I'll meet you at the park tomorrow morning as planned. | Actus Reus (meeting at the park)
   [Message 39 - Maya]: Goodnight, Sarah. | Actus Reus (ending communication before the crime is committed)"
60," [Message 2 - Rachel]: I know what you mean, Ben. It was... intense. But we needed to do it, right? | Crime element: Mens Rea (Intent)
   [Message 4 - Rachel]: Oh come on, Ben. We were careful. No one can link us to that apartment. | Crime element: Actus Reus (Covering up a crime)
   [Message 6 - Rachel]: If we're smart, we won't leave any trace, Ben. We planned this, remember? | Crime element: Mens Rea (Planning)
   [Message 26 - Rachel]: Let's keep things normal for a while. No sudden changes or suspicions. | Crime element: Actus Reus (Avoiding suspicion)"
61," [Message 1 - Kevin]: Meeting at the rooftop tonight? Need to discuss something important. | Actus Reus: Mentioning a meeting with potential criminal activity

   [Message 2 - Emma]: Yeah, as planned. The timing has to be right. Nobody can see us. | Mens Rea: Planning and deception, suggesting they want to keep their actions secret

   [Message 3 - Kevin]: Agreed. I've brought the bag. It should do the job quietly. | Actus Reus: Bringing a bag, which could be used as a tool for committing a crime

   [Message 4 - Emma]: Good. Remember, we can't afford any mistakes this time. | Mens Rea: Fear of being caught and regret, indicating they know what they are doing is wrong

   [Message 5 - Kevin]: Understood. The plan is to suffocate him. He won't make a sound. | Actus Reus: Planning to commit a homicide

   [Message 11 - Kevin]: Understood. Keep him talking and busy. | Actus Reus: Keeping the victim occupied, which may delay discovery of the crime

   [Message 21 - Kevin]: Good. I've got the bag over his face now. He won't last long. | Actus Reus: Committing an action that results in the death of the victim

   [Message 25 - Kevin]: Excellent work. Let's get out of here and clean up later. | Actus Reus: Mentioning cleaning up, which could involve removing evidence of the crime

   [Message 26 - Emma]: Agreed. No one can know about this. We need to stay calm and cover our tracks. | Mens Rea: Fear of being caught and intent to cover up the crime"
62," [Message 1 - Tom]: Should've waited for a moonless night next time. The silhouette might've given us away. | Actus Reus
   [Message 7 - Tom]: An accident? No, we made sure of that. It was well-planned and executed. | Actus Reus, Mens Rea
   [Message 16 - Chloe]: I don't think so. It was dark, and we took precautions to avoid being seen. | Actus Reus
   [Message 18 - Chloe]: I don't think so. It was dark, and we took precautions to avoid being seen. | Actus Reus
   [Message 28 - Chloe]: Yes, it's the best option at this point. No more ties to our past. | Actus Reus
   [Message 31 - Tom]: Have you considered what we'll do for work in our new location? | Not relevant (discussion about future plans)
   [Message 32 - Chloe]: I have a few ideas. But it would be best if we stick to something low-profile. | Not relevant (discussion about future plans)
   [Message 35 - Tom]: I have a good feeling about this. We'll make it work. | Not relevant (expression of optimism)
   [Message 36 - Chloe]: You're right, Tom. This is the path we must take to ensure our future. | Not relevant (agreement on future plans)
   [Message 37 - Tom]: I have a good feeling about this. We'll make it work. | Not relevant (expression of optimism)
   [Message 38 - Chloe]: Me too. Together, we can overcome any obstacle. | Not relevant (expression of confidence)
   [Message 39 - Tom]: Absolutely. We've proven that before, and we'll do it again. | Not relevant (repeated confidence in their abilities)"
63," [Message 1 - Maya]: I can't believe we did it. That guy was a menace. | Crime element: Actus Reus
   [Message 2 - Sarah]: We had to, Maya. For our own good. | Crime element: Mens Rea
   [Message 4 - Sarah]: It's okay, Maya. We planned it perfectly. They found nothing. | Crime element: Actus Reus
   [Message 8 - Sarah]: We were careful, Maya. We made sure no one saw us. | Crime element: Actus Reus
   [Message 17 - Maya]: I need you, Sarah. More than ever now. Because I need you to keep each other's secrets. | Crime element: Mens Rea
   [Message 40 - Sarah]: Our secret is safe with me. | Crime element: Mens Rea
   [Message 19 - Maya]: Good. Because I need you, Sarah. More than ever now. | Crime element: Actus Reus (implication)
   [Message 41 - Maya]: I don't know what I'd do without you. | Crime element: Mens Rea (need to keep the secret safe)
   [Message 42 - Sarah]: Of course, Maya. You can always count on me. | Crime element: Actus Reus (implication, promise to keep the secret)
   [Message 44 - Sarah]: Never doubt it, Maya. We're in this together, forever and always. | Crime element: Mens Rea (promise to keep each other's secrets)
   [Message 49 - Maya]: As long as we stay strong and never betray each other. | Crime element: Actus Reus (implication, promise not to betray the secret)
   [Message 50 - Sarah]: Our bond is unbreakable, Maya. We are invincible together. | Crime element: Mens Rea (promise to keep each other's secrets)
   [Message 53 - Maya]: It means everything to me too, Sarah. We're a team now. | Crime element: Actus Reus (implication, forming a team to protect the secret)
   [Message 54 - Sarah]: Always and forever, Maya. A team that can conquer anything. | Crime element: Actus Reus (implication, promise to work together to protect the secret)
   [Message 55 - Maya]: Always and forever, Sarah. Together, we are invincible. | Crime element: Actus Reus (implication, promise to stay united to protect the secret)"
64," [Message 1 - Ben]: I can't believe we did it. The office is ours now, no one will disturb us again. | Crime element: Actus Reus
   [Message 5 - Ben]: Good, but what about the body? Did you move it somewhere safe? | Crime element: Actus Reus
   [Message 6 - Rachel]: Of course. We can't leave any traces behind. I've hidden it in the old storage room on the third floor. | Crime element: Actus Reus
   [Message 7 - Ben]: That's a good idea, but we need to make sure no one goes up there. I'll lock all the doors and remove the stairwell signs. | Crime element: Actus Reus
   [Message 10 - Rachel]: No problem. I've already arranged for us to work from home for the next few days. | Crime element: Planning
   [Message 11 - Ben]: Smart move. Let's not give anyone a reason to doubt our alibis. | Crime element: Planning
   [Message 13 - Ben]: I'll keep you updated on my progress tonight. Be careful during the day. | Crime element: Actus Reus
   [Message 25 - Ben]: Alright, let's not joke about it anymore. Let's focus on making our plan succeed and keeping each other safe. | Crime element: Fear of being caught
   [Message 27 - Ben]: Alright, let's not joke about it anymore. Let's focus on making our plan succeed and keeping each other safe. | Crime element: Fear of being caught
   [Message 29 - Ben]: I couldn't agree more, Rachel. Let's just focus on making our plan succeed and keeping each other safe. | Crime element: Fear of being caught
   [Message 35 - Ben]: Our secret is safe with us, Rachel. Let's make sure it stays that way. | Crime element: Fear of being caught
   [Message 37 - Ben]: I hope so, Rachel. Let's just enjoy our newfound freedom and make the best of this opportunity. | Crime element: Intent (Enjoying their criminal act)"
65," [Message 10 - Ben]: I know. I can't back out now. | Actus Reus: Mention of the action to pull the trigger

   [Message 14 - Rachel]: Don't worry, I've got a plan for the disposal too. | Actus Reus: Indication of planning for disposing of evidence

   [Message 20 - Rachel]: Just a reminder, don't hesitate. One shot, and then we're done. | Actus Reus: Mention of taking one shot, which could be considered the act of committing a crime

   [Message 34 - Rachel]: There is no plan B. We do this tonight and we move on from here. No turning back now. | Mens Rea: Indication of no turning back, suggesting intent to follow through with the planned criminal action"
66," [Message 1 - Daniel]: We need to talk about last night. Something doesn't feel right. | Crime element: Actus Reus (Guilty act)

   [Message 3 - Daniel]: Remember when we talked about getting rid of him for good? | Crime element: Actus Reus (Guilty act)

   [Message 5 - Daniel]: I wasn't joking, Tina. We did it, didn't we? We gave him too much. He didn't stand a chance. | Crime element: Actus Reus (Guilty act)

   [Message 7 - Daniel]: I don't know, Tina. It feels like we did this on purpose. We planned it all out. | Crime element: Mens Rea (Guilty mind)

   [Message 10 - Tina]: We overdosed him. | Crime element: Actus Reus (Guilty act)

   [Message 11 - Daniel]: If someone finds out? | Crime element: Mens Rea (Guilty mind)

   [Message 12 - Tina]: We'll say it was an accident, like you said earlier. No one will suspect us. | Crime element: Actus Reus (Deception)

   [Message 13 - Daniel]: If they do, we're in deep trouble. | Crime element: Mens Rea (Guilty mind)

   [Message 15 - Daniel]: We can handle this. Let's stick together and keep our story straight. | Crime element: Actus Reus (Deception)

   [Message 17 - Daniel]: Let's get rid of any evidence. | Crime element: Actus Reus (Guilty act)

   [Message 25 - Daniel]: There's an old quarry on the outskirts of town. No one goes there anymore. We could dump the body there. | Crime element: Actus Reus (Guilty act)

   [Message 27 - Daniel]: Just be sure to wear gloves and a mask when you handle the body. | Crime element: Actus Reus (Guilty act)

   [Message 35 - Daniel]: Let's make sure no one ever finds out about last night. | Crime element: Mens Rea (Guilty mind)

   [Message 41 - Daniel]: If they ever find out... we're in deep trouble. | Crime element: Mens Rea (Guilty mind)

   [Message 43 - Daniel]: Focus on the present, and let's make sure no one ever connects us to that car or the drugs. | Crime element: Actus Reus (Deception), Mens Rea (Guilty mind)"
67," [Message 1 - Tom]: Hey Chloe, we need to talk about last night. The car burning... it didn't look like an accident. | Actus Reus
   [Message 2 - Chloe]: I know, Tom. We had to do it. It was the only way. | Mens Rea
   [Message 5 - Tom]: Free, but not out of the woods yet. We need to be careful. | Actus Reus and Mens Rea
   [Message 9 - Tom]: But we need to keep our story straight if anyone asks. | Actus Reus and Mens Rea
   [Message 10 - Chloe]: Agreed. Let's say it was arsonists targeting cars. Nothing more, nothing less. | Actus Reus and Mens Rea
   [Message 15 - Tom]: If they ever find out... we'll need to disappear. | Actus Reus
   [Message 17 - Tom]: Somewhere far away, where no one knows us. | Actus Reus
   [Message 25 - Tom]: We'll be careful, smart, and always look out for each other. | Actus Reus
   [Message 29 - Tom]: Let's meet up later to plan our escape, just in case. | Actus Reus
   [Message 30 - Chloe]: Sounds like a plan, Tom. See you then. Stay safe. | Actus Reus and Mens Rea"
68," [Message 1 - Mike]: Meeting at the warehouse tonight, remember? We need to finish what we started. | Crime element: Actus Reus

   [Message 2 - Amy]: Yes, I'm there now. Prepared the poison as you asked. Let's do this. | Crime element: Actus Reus

   [Message 5 - Mike]: But with this crime solved, we can start anew. | Crime element: Mens Rea

   [Message 21 - Mike]: Now let's clean up and leave no trace behind. | Crime element: Actus Reus

   [Message 29 - Mike]: I never want to do something like that again. But we needed to, and now we can start over. | Crime element: Mens Rea"
69," [Message 3 - Nina]: Good. That drink I gave you was laced with the poison, remember? | Actus Reus
   [Message 9 - Nina]: Don't forget to bring the antidote just in case. | Actus Reus
   [Message 11 - Nina]: Yes, I've made some extra. It should be enough for both of us. | Actus Reus
   [Message 15 - Nina]: We left together shortly after the incident and went to my place. | Actus Reus
   [Message 18 - Nina]: No one. We made sure of that. | Actus Reus
   [Message 20 - Nina]: Let's pray it doesn't come to that. (implies they are worried about getting caught) | Mens Rea
   [Message 23 - John]: You know what's strange though? I feel a little guilty... | Mens Rea
   [Message 24 - Nina]: We all have our moments of doubt, but remember why we did this. | Mens Rea
   [Message 25 - John]: Yeah, you're right. It was for the greater good. | Mens Rea
   [Message 27 - John]: I hope so... I don't want to end up like him. (implies regret) | Mens Rea
   [Message 28 - Nina]: Neither do I. Let's make sure this was the last time we ever have to do something like this. | Mens Rea
   [Message 29 - John]: Understood. Now, let's get back to our normal lives. | Mens Rea"
